EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
5903,CORACIIFORMES,Meropidae,Merops variegatus,Blue-breasted Bee-eater,LC,LC,6.361792,0.9944,5.253746,7.676876,1.996303,0.690343,1.833181,2.160662
5904,PASSERIFORMES,Emberizidae,Arremon castaneiceps,Olive Finch,NT,NT,2.680203,0.994935,1.686412,4.08132,1.996115,1.383759,1.681354,2.318718
5905,APODIFORMES,Trochilidae,Boissonneaua jardini,Velvet-purple Coronet,LC,LC,6.360165,2.067401,4.933946,11.036824,1.996082,1.120831,1.780689,2.487971
5906,APODIFORMES,Trochilidae,Campylopterus hemileucurus,Violet Sabrewing,LC,LC,6.358109,3.049752,3.585949,9.088665,1.995803,1.398656,1.522997,2.311413
5907,GALLIFORMES,Phasianidae,Perdicula argoondah,Rock Bush-quail,LC,LC,6.357905,2.996861,3.782829,11.371688,1.995775,1.385509,1.565032,2.515411
5908,COLUMBIFORMES,Columbidae,Cryptophaps poecilorrhoa,Sombre Pigeon,LC,LC,6.355067,4.568115,3.195098,13.594162,1.99539,1.717057,1.433917,2.680622
5909,PASSERIFORMES,Meliphagidae,Myzomela adolphinae,Mountain Myzomela,LC,LC,6.354314,3.736258,3.497887,13.084195,1.995287,1.555247,1.503608,2.645053
5910,PASSERIFORMES,Sylviidae,Acrocephalus palustris,Marsh Warbler,LC,LC,6.353201,2.124286,3.948786,8.770171,1.995136,1.139206,1.599142,2.279334
5911,PASSERIFORMES,Corvidae,Podoces panderi,Turkestan Ground-jay,LC,LC,6.352864,2.505578,4.189717,11.053866,1.99509,1.254355,1.646679,2.489385
5912,PASSERIFORMES,Platysteiridae,Batis fratrum,Zululand Batis,LC,LC,6.350288,3.220662,3.722195,11.835254,1.994739,1.439992,1.552274,2.552196
5913,PASSERIFORMES,Acanthizidae,Gerygone dorsalis,Rufous-sided Gerygone,LC,LC,6.348888,3.580608,3.694508,13.688326,1.994549,1.521832,1.546393,2.687053
5914,GALLIFORMES,Phasianidae,Galloperdix bicalcarata,Sri Lanka Spurfowl,LC,LC,6.348322,2.845619,3.850396,10.925316,1.994472,1.346935,1.57906,2.478664
5915,PASSERIFORMES,Sylviidae,Chloropeta natalensis,Yellow Flycatcher-warbler,LC,LC,6.347985,1.835224,4.449711,8.539845,1.994426,1.042121,1.695563,2.255477
5916,PASSERIFORMES,Sylviidae,Chloropeta similis,Mountain Flycatcher-warbler,LC,LC,6.347985,1.835224,4.449711,8.539845,1.994426,1.042121,1.695563,2.255477
5917,STRIGIFORMES,Strigidae,Megascops guatemalae,Vermiculated Screech-owl,LC,LC,6.347947,2.576444,4.108149,10.412946,1.994421,1.274369,1.630837,2.434748
5918,GRUIFORMES,Rallidae,Rallus elegans,King Rail,LC,LC,6.347879,2.301416,4.271069,9.568271,1.994412,1.194352,1.662233,2.357856
